Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Csf1r,1.48853046048484,0.758839446448522,0.206180861100834,3.68045531673964,2.3281785616152e-4,3.77425220237e-4
Cav2,1.64431700684477,0.757983882037794,0.200322071234482,3.78382610246954,1.5443574706895e-4,2.5180527868184e-4
Nupr1,1.48333324384439,0.752776276232444,0.206909486801344,3.63819121041652,2.7455955806132e-4,4.4371544677403e-4
Gsk3b,1.55399148718514,0.752755814938948,0.204452594348554,3.68181101999438,2.3158304937122e-4,3.7548175732808e-4
Rhoa,4.33127515809858,0.752097024847798,0.193743022685771,3.8819308918681,1.0363033079573e-4,1.6989645940758e-4
Rab18,1.53861338656206,0.746305874619604,0.204321831447872,3.65259977032855,2.5959868167118e-4,4.2038316064016e-4
Psmb7,1.58853465935846,0.746231999439361,0.20449556678718,3.64913533903632,2.6312446146866e-4,4.2596051755821e-4
Lamp2,1.50533351108241,0.746116145199582,0.204553669297138,3.64753244350636,2.6477088742754e-4,4.2855938988271e-4
AF251705,1.4804350444243,0.745844688058377,0.206177963294353,3.61748014259681,2.974851457698e-4,4.8046796439305e-4
Adrb2,1.57095839780772,0.745026540021974,0.204447454271538,3.64409790611754,2.6833127021719e-4,4.3388693313545e-4
Serinc1,1.54215428824702,0.739693603934793,0.204709572457135,3.61338063020809,3.0223052797028e-4,4.8790578506413e-4
Fgr,1.47484511042471,0.739687306299158,0.205115650366244,3.6061963335241,3.1071808307285e-4,5.0114271393181e-4
Ergic3,1.54181136037293,0.739659181535702,0.204667923031265,3.61394775781602,3.0156985169438e-4,4.8691451464418e-4
Cox6b1,3.9237047085515,0.735702658813383,0.18937483807734,3.8849018501229,1.0237123694624e-4,1.6788496916726e-4
2900053A13Rik,1.57034039410487,0.733173588684178,0.20474980415907101,3.58082681297499,3.4250863507171e-4,5.5139400927505e-4
Mrpl20,1.55763422140109,0.726551883988029,0.204777621205114,3.54800431664496,3.8816185981099e-4,6.2373554200813e-4
Ddx3x,1.56901950958931,0.72646582491269,0.205065514096944,3.54260358262509,3.9619779042837e-4,6.364525207066e-4
Atp6v0d1,1.54475776387151,0.726391193898699,0.205010151985802,3.54319621181007,3.95308465082e-4,6.3512163364975e-4
Ssr3,1.54843156895331,0.726330890543628,0.205104380823108,3.54127438735719,3.9819924176746e-4,6.394708635675e-4
Coro1b,1.55516956312132,0.726148284463447,0.205333060901513,3.53644114238253,4.0555685861295e-4,6.5098610146359e-4
Psmc3,1.56898856501828,0.719811929849172,0.205031857721797,3.51073212644772,4.4687446194019e-4,7.1642650225056e-4
Pdlim1,1.56411619935712,0.718753107618503,0.204372393514639,3.51687962966985,4.3665174966505e-4,7.0014502634051e-4
Srsf6,1.67849665781073,0.715334737735703,0.198770263723817,3.59880157290343,3.1968698801402e-4,5.1544898144654e-4
Pilra,1.45169885655669,0.713243020097116,0.206434434976641,3.45505835873663,5.5017372288469e-4,8.7785628410762e-4
Rsu1,1.52059328690322,0.713112540069007,0.20503588718510601,3.47798890164634,5.05190841395e-4,8.0781013695265e-4
Stx7,1.55339972087451,0.713094204562101,0.20554392503599,3.46930323743327,5.2181013154394e-4,8.336186340197e-4
Myo1f,1.48111984124374,0.713091448029152,0.205274238916142,3.47384772582429,5.1305210647898e-4,8.1987815576926e-4
St13,1.56767490158852,0.71303202522549,0.205943721879432,3.46226638383728,5.3564670873388e-4,8.5506905797886e-4
P4hb,1.53176167454483,0.71296168172022,0.205617631929007,3.46741509972444,5.2548971261986e-4,8.3924011010422e-4
Glul,1.54722401579615,0.71031212275203,0.202344702688108,3.51040631810805,4.4742243445903e-4,7.1708477368012e-4
Pdgfra,1.44978520101518,0.706968697597763,0.222386733093339,3.17900572468519,0.00147781172479016,0.00231379040294081
Ecscr,1.44913633467623,0.706750452572048,0.208866351899363,3.38374489785016,7.1504406451594e-4,0.00113519769366583
S100a1,1.45982634399295,0.70595251766719,0.206933743156569,3.41149059065275,6.4608731161601e-4,0.00102869475877249
Cd93,1.44477089209053,0.699954875447701,0.207688493555739,3.37021499585314,7.5109557267549e-4,0.00119116478485981
Rhoc,1.44343605256115,0.699747781925708,0.207009830706264,3.38026353404738,7.2416358344298e-4,0.00114950095957804
Ctnnb1,1.50934837131068,0.699616319869109,0.206015985495175,3.3959322049089,6.839529785159e-4,0.00108682939051843
Ilk,1.50830531078456,0.699603974005416,0.205478192953641,3.40476020325552,6.622217707854e-4,0.00105341997364005
Dhrs3,1.44568342951073,0.699541680140229,0.206011652488192,3.39564132266899,6.8468017637755e-4,0.00108781936408182
